title,label
시황종합 코스피 135↓ 2910선 후퇴환율 한때 1200원 돌파,0
마켓뷰 코스피 글로벌 인플레 우려에 한때 2900선 무너질 뻔,0
마감시황코스피 2910선으로 밀려외인·기관 매도,0
외환마감외국인 주식 매도세 늘어환율 15개월만에 1200원 돌파,0
코스닥 마감1대 하락에 940선거래대금 4개월 만 최저,0
오전시황10개월만 삼성전자 육만전자 쇼크에 코스피 1대 하락,0
굿모닝 증시대외 악재에 맥 못 추는 국내 증시단기간 회복 어려워,0
외환브리핑인플레 우려 확산환율 1200원 향해 추가상승 시도,0
전력난 여파 7년 만에 80달러 돌파한 유가증시↓ 뉴욕마감,0
부스터샷 오늘부터 시작뉴욕증시 인플레이션 우려에 하락모닝브리핑,0
유가급등에 인플레 우려↑···SP500 069 데일리 국제금융시장,0
유럽증시 유가 상승 주시 속 혼조세로 마감,1
주간증시전망시계제로 코스피물가·美中 리스크 촉각,0
美中 리스크에 당분간 혼조세 물가지표·FOMC 회의록 주목주간 증시 전망,0
주간증시전망 미중 리스크에 혼조세 지속될 듯FOMC 회의록 주목,0
뉴욕증시에 공매도가 늘었다증시 한발 뺄 때 월가시각,0
주간증시전망 미중 리스크에 하단 2880선,0
노동력 부족 우려 속 소폭하락에너지주 강세뉴욕마감,0
마켓뷰 코스피 2950선 약보합 마감 뉴욕증시 훈풍에도 시장 우려 여전,0
시황종합 코스피 소폭 하락 2950선 마감삼전·SK하닉 약세,0
외환마감각종 악재 겹친 원화 약세환율 1190원대 중반 올라 1년2개월만 최고치,0
코스닥 마감외인·기관 매도에 약보합950선 턱걸이,0
오전시황코스피 장 초반 상승세···2970대,1
굿모닝 증시 美증시 이틀 연속 상승韓증시도 따라갈까,1
외환브리핑美 부채한도 협상에 위험선호↑환율 1190원 밑으로 하락 시도,0
뉴욕증시 美 부채한도 일시 증액 합의에 상승삼성전자 실적 발표 모닝브리핑,0
美 부채한도 증액 합의···뉴욕증시 일제히 상승 데일리 국제금융시장,0
美디폴트 일단 피했다 안도랠리트위터 4↑뉴욕마감,1
빅데이터로 본 재테크 D램·낸드 수요증가코스피 미워도 삼성전자 다시한번,1
마켓뷰 2900선까지 내렸던 코스피 176 급등···기관이 반등 이끌어,1
외환마감强달러 멈추니 숨고르기환율 5거래일 만에 하락,0
시황종합 코스피 반발매수 17 반등 2960코스닥도 3↑,1
마감시황코스피 기관 순매수에 강세2950선 회복,1
코스닥 마감3대 오르며 950선콘텐츠 업종 급등세,1
굿모닝 증시환율 안정되면 상승 흐름 기대제한적인 등락 연출,1
외환브리핑美 채무불이행 위험 감소환율 5거래일만 하락 전망,0
모닝브리핑 뉴욕증시 부채한도 협상 기대감에 상승비트코인 55만달러 돌파,0
美디폴트는 없다 안도감 속 상승기술주↑뉴욕마감,1
美 부채한도 유예 가능성···다우 03 상승 마감 데일리 국제금융시장,0
시황종합 코스피 결국 연저점 찍었다2900선 위태,0
마감시황코스피 2900선도 위태코스닥은 3대 낙폭,0
외환마감외인매도强달러환율 14개월만에 1192원 돌파,0
코스닥 마감3 급락해 930선도 붕괴3월 이후 최저,0
오전시황 코스피 미 증시 훈풍에 반등2980선 회복,1
증시 좋아질 것 대형기술주 강세넷플릭스 5↑뉴욕마감,1
뉴욕증시 일제히 반등확진자 다시 2000명 안팎 모닝브리핑,1
美 증시 반등 성공···나스닥 125↑ 데일리 국제금융시장,1
클릭 해외증시 이 종목 美 엑손모빌 유가 급등에 웃음꽃,1
외환마감달러 따라 오르내리다 보합환율 연중 최고,0
코스닥 마감나스닥 폭락에 약 3↓ 950선K콘텐츠는 강세,0
오전시황코스피 6개월 만에 3000선 무너졌다···코스닥도 2대 급락,0
굿모닝 증시 경제 불확실성 키우는 미국의 정치 리스크,0
외환브리핑美부채한도 협상 난항에 弱달러환율 1180원대 초중반 예상,0
주간증시전망美·中 악재에 변동성 장세3Q 실적시즌 시작,0
뉴욕마감인플레 걱정인데 유가 7년새 최고치로나스닥 급락,0
기술주 출렁하자 美 증시 하락확진자 1700명 내외 예상 모닝브리핑,0
페북·알파벳 급락에 나스닥 214 데일리 국제금융시장,0
원자재 가격 상승 여파 여전 미·중發 악재에 박스권 장세 주간 증시 전망,0
주간 증시 전망 인플레 우려 여전 악재에 눌리며 불확실성 커질 듯,0
펀드와치금리인상·배당 기대감에 은행펀드 활짝,1
이번주 증시 코스피 3000선도 위협변동성 확대 속 업종 차별화,0
먹는 코로나 치료제 나온다 기대감에 증시↑뉴욕마감,1
마켓뷰 코스피 301918로 마감···3월 25일 이후 최저치,0
시황종합6개월만에 삼천피 위협받는 코스피천스닥도 붕괴,0
외환마감달러강세외인 순매도환율 1년여 만에 최고치,0
마감시황코스피 1 넘게 급락한 3010선 마감코스닥 2↓,0
코스닥 마감외인·기관 순매도에 2대 하락980선,0
오전시황 코스피 3050선·코스닥 1000선글로벌 공급망 문제 부각,0
외환브리핑한풀 꺾인 强달러환율 1180원대 중반 횡보할 듯,0
굿모닝 증시美증시 인플레 우려에 일제히 약세韓증시 하락세 전망,0
오늘 거리두기 2주 재연장 유력美 셧다운 피했지만 다우지수 15↓모닝브리핑,0
공급망·국채금리 여파 지속에 다우 159 데일리 국제금융시장,0
빅데이터로 본 재테크 대형주 싸늘해진 사이2차전지 소재주에 눈길 쏠린다,0
코스닥 마감돌아온 기관에나흘만의 강세,1
새 총리 선출 달갑지 않은 증시日 닛케이 4일 연속 하락Asia 마감,0
마켓뷰 코스피 사흘 만에 소폭 반등개인·외국인 반발 매수,1
마감시황코스피 외인 매수세에 반등3100선 회복 못해,1
시황종합 코스피 3거래일만에 반등 3060선SK하이닉스 3↑,1
